id,ageRating,countries,genres,name,updatedAt,year,sequelsAndPrequels,createdAt,networks,audience,totalSeriesLength,rating_kp,rating_imdb,rating_tmdb,rating_filmCritics,rating_russianFilmCritics,rating_await,fees_world_value,fees_world_currency,fees_russia_value,fees_russia_currency,fees_usa_value,fees_usa_currency,budget_value,budget_currency,votes_kp,votes_imdb,votes_tmdb,votes_filmCritics,votes_russianFilmCritics,votes_await,genres_str,genre_count,countries_str,audience_total,has_sequel
1211156,18.0,[{'name': 'США'}],"[{'name': 'драма'}, {'name': 'мелодрама'}]",Человек будущего,2026-02-27T13:40:38.756Z,2019,,2019-01-01T00:00:00.000Z,,,,5.569,5.9,5.721,5.7,0.0,0,0.0,,,,,,,,377,2600,68.0,56,0,0,"драма, мелодрама",2,США,0,False
1211147,18.0,[{'name': 'Австралия'}],"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'драма'}, {'name': 'вестерн'}]",Дикие земли,2026-03-01T17:30:27.567Z,2020,,2024-04-13T04:53:36.144Z,,,,6.222,6.6,,7.3,0.0,0,2313364.0,$,,,,,,,6105,3000,,41,0,0,"боевик, триллер, драма, вестерн",4,Австралия,0,False
1211139,,"[{'name': 'Кипр'}, {'name': 'Греция'}, {'name': 'Италия'}]","[{'name': 'драма'}, {'name': 'мелодрама'}]",Человек с ответами,2026-03-01T22:05:01.509Z,2021,,2019-01-01T00:00:00.000Z,,,,6.64,6.8,6.951,0.0,0.0,0,0.0,,,,,,,,634,5000,61.0,0,0,0,"драма, мелодрама",2,"Кипр, Греция, Италия",0,False
1211033,,[{'name': 'Чили'}],[{'name': 'драма'}],Los fuertes,2026-02-21T16:49:07.228Z,2019,,2019-01-01T00:00:00.000Z,,,,6.9,7.3,7.5,0.0,0.0,0,0.0,,,,,,,,122,2400,77.0,0,0,0,драма,1,Чили,0,False
1210811,18.0,[{'name': 'США'}],"[{'name': 'ужасы'}, {'name': 'драма'}]",Разлучённые души,2026-03-01T04:25:31.185Z,2021,,2026-01-04T09:27:38.515Z,,,,5.046,4.7,,4.3,0.0,0,4509143.0,$,,,4509143.0,$,,,3540,6700,,30,0,0,"ужасы, драма",2,США,0,False
1210858,,[{'name': 'США'}],"[{'name': 'короткометражка'}, {'name': 'фэнтези'}]",Nespresso: Рыцарь,2026-02-20T03:32:22.176Z,2018,,2019-01-01T00:00:00.000Z,,,,6.692,5.6,,0.0,0.0,0,0.0,,,,,,,,158,317,,0,0,0,"короткометражка, фэнтези",2,США,0,False
1210654,,[{'name': 'Украина'}],[{'name': 'комедия'}],DZIDZIO: Первый раз,2026-02-27T03:16:48.500Z,2018,,2019-01-01T00:00:00.000Z,,,,6.346,6.3,,0.0,0.0,0,0.0,,,,,,,,397,332,,0,0,0,комедия,1,Украина,0,False
1210735,,[{'name': 'Германия'}],[{'name': 'мелодрама'}],Бонни и Бонни,2026-03-02T04:13:01.241Z,2019,,2022-04-03T00:45:17.800Z,,,,6.288,5.9,,0.0,0.0,0,0.0,,,,,,,,2096,507,,0,0,0,мелодрама,1,Германия,0,False
1210574,18.0,[{'name': 'США'}],"[{'name': 'ужасы'}, {'name': 'триллер'}, {'name': 'детектив'}]",Сестра тьмы,2026-03-01T22:45:30.887Z,2018,,2024-04-13T06:44:49.155Z,,,,4.572,3.9,,0.0,0.0,0,0.0,,,,,,,,671,142,,0,0,0,"ужасы, триллер, детектив",3,США,0,False
1210474,18.0,[{'name': 'Германия'}],"[{'name': 'триллер'}, {'name': 'драма'}, {'name': 'криминал'}, {'name': 'детектив'}, {'name': 'история'}]",Тихий лес,2026-03-01T13:11:10.226Z,2022,,2024-04-13T04:07:28.797Z,,,,5.851,5.6,5.698,0.0,0.0,0,0.0,,,,,,,,10229,807,48.0,0,0,0,"триллер, драма, криминал, детектив, история",5,Германия,0,False
1210349,18.0,[{'name': 'Великобритания'}],[{'name': 'фантастика'}],Космос,2026-02-25T15:20:30.051Z,2019,,2024-04-13T03:12:02.743Z,,,,6.624,6.0,,0.0,0.0,0,0.0,,,,,,7000.0,$,27959,7500,,0,0,0,фантастика,1,Великобритания,0,False
1210186,18.0,[{'name': 'США'}],"[{'name': 'драма'}, {'name': 'вестерн'}]",Первая корова,2026-03-01T05:02:30.919Z,2019,,2024-04-13T04:54:14.203Z,,"[{'count': 1174, 'country': 'Россия'}]",,6.697,7.1,,8.4,100.0,0,1386609.0,$,7310.0,$,101068.0,$,,,4770,24000,,224,4,0,"драма, вестерн",2,США,0,False
